Nome;Razão social;CNPJ;Inscrição estadual;E-mail principal;Telefone principal;CEP;UF;Cidade;Endereço;Número;Bairro;Complemento
IBERSUL INDUSTRIA DE PAPEL CELULOSE LTDA.;IBERSUL INDUSTRIA DE PAPEL E CELULOSE LTDA. EM RECUPERACAO JUDICIAL;08988218000108;9041247530;ONILIO@IBERKRAFT.COM.BR;4236298000;85460000;PR;Quedas do Iguaçu;PR 473, KM 2,6;S/N;FAZENDA RIO DAS COBRAS;KM    2,6
ICL AMERICA DO SUL;ICL AMERICA DO SUL S.A.;60398138000465;672212533110;FISCAL.SUZANO@ICL-GROUP.COM;1128080600;08655000;SP;Suzano;INDIO TIBIRICA;500;VILA SOL NASCENTE;
Importação;;;;;;;;;;;;
INDUSTRIA DE PAPÉIS E EMBALAGENS PONTE NOVA LTDA.;INDUSTRIA DE PAPÉIS E EMBALAGENS PONTE NOVA LTDA.;02625899000163;;nfe@pontenovapapeis.ind.br;3138198200;35430085;MG;Ponte Nova;RUA FELISBERTO LEOPOLDO;756;SANTA TERESA;
INFO WORLD LTDA;;74210584000166;;;;;;;;;;
INGER DO BRASIL COMERCIO DE PRODUTOS QUIMICOS LTDA;;10328941000102;;;;;;;;;;
INOVAMAX PRODUTOS QUIMICOS;;18659412000101;;compras@inovamaxquimica.com.br;1633220344;14808155;SP;Araraquara;Rua do Vereador;220;2° Distrito Industrial (Domingos Ferrari);
INPA INDUSTRIA DE EMBALAGENS SANTANA S/A;INPA INDUSTRIA DE EMBALAGENS SANTANA S/A;23524952000100;;nfeentrada.impa@smurfitkappa.com.br;34653000;36730000;MG;Pirapetinga;RUA INPA;186;CENTRO;
INTERNATIONAL PAPER DO BRASIL LTDA;INTERNATIONAL PAPER DO BRASIL LTDA;52736949000158;;Ana.Caroline@ipaper.com;38618857;13845901;SP;Mogi Guaçu;RODOVIA SP-340 KM 171;;VILA CHAMPION;
JESFE SOLDAS E MONTAGENS INDUSTRIAIS LTDA;;45446958000149;;;;;;;;;;
Kaique marcal dos Santos;;;;;;;;;;;;
KEMIRA CHEMICALS BRASIL LTDA;KEMIRA CHEMICALS BRASIL LTDA;03944724000262;;;;84275000;PR;Telêmaco Borba;ROD DO PAPEL PR 160;;DIST.IND.TRIANGULO;
Klabin S.A.;Klabin S.A.;89637490016572;;KLAI00123704@KLABIN.COM.BR;30469938;84350000;PR;Ortigueira;FAZENDA APUCARANA GRANDE;;DISTRITO DE NATINGUI;KM 2
KOS MINERALS BENEFICIAMENTO DE MINERAIS LTDA;;31721872000172;;;;;;;;;;
LABORAVES COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;LABORAVES COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;43467802000119;;;8709888;13900400;SP;Amparo;AVENIDA BERNARDINO DE CAMPOS;254;CENTRO;
LIPESA DO BRASIL;;;;;;;;;;;;
LOTUS - ALDIN DO BRASIL ADITIVOS LTDA;;10775038000190;;;;88506570;SC;Lages;Rua Oscar L. Fernandes;50;São Paulo;
LUNIFER S SERVICOS LOGISTICOS;LUNIFER S SERVICOS LOGISTICOS;08690326000108;;operacional@lunifers.com.br;32234465;11013100;SP;Santos;RUA DOUTOR COCHRANE;53;PAQUETA;
LWARCEL CELULOSE LTDA;LWARCEL CELULOSE LTDA;53943098000187;;nfe@lwarcel.com.br;;18680900;SP;Lençóis Paulista;Rodovia Juliano Lorenzetti, Km;;DISTRITO EMPRESARIAL LUIZ TRECENTI;
MADEIRA MORAIS;;24872438000128;;;;;;;;;;
Maxxi Papeis e Embalagens Ltda.;;43182743000213;15029347511;financeiro@maxxipapeis.com.br;;03204000;SP;São Paulo;Rua Iguará;503;Vila Alpina;
MELHORAMENTOS FLORESTAL LTDA;MELHORAMENTOS FLORESTAL LTDA.;02440482000479;1059885590053;FISCAL@MELHORAMENTOS.COM.BR;35992759082;37650000;MG;Camanducaia;LEVANTINA;S/N;JAGUARI DO MEIO;SALA  01
MHM RADIADORES LTDA;;09286157000108;;;;;;;;;;
NHL PRO SOUND LTDA;;12470668000181;;;;;;;;;;
NOVAKRAFT;;;;;;;;;;;;
NOVALIFT TRANSPORTES DE CARGAS E MAQUINAS EM GERAL LTDA;;02647151000161;;;;;;;;;;
Novogreen;;;;;;;;;;;;
OMNI-TECH Industria e Comércio de Produtos Químicos Ltda;OMNI-TECH Industria e Comércio de Produtos Químicos Ltda;04945379000163;;roberto@omnitechquimica.com.br;40148004;13260000;SP;Morungaba;RUA JOAQUIM SERAFIM;445;SÃO BENEDITO;
PAULO HEY;;;;;;;;;;;;
PISCICULTURA PE DE COELHO LTDA - EPP;PISCICULTURA PE DE COELHO LTDA - EPP;03552876000139;;;;54700000;PE;Abreu e Lima;RODOVIA PE-05 DIST INDUSTRIAL;;SANTOS DUMONT;LOTE N 5A KM 25
PORTO FELIZ IND E COM DE PAP E PAPELÃO LTDA;PORTO FELIZ IND E COM DE PAP E PAPELÃO LTDA;50334614000340;;papel@centraldopapel.com.br;15997840906;18540000;SP;Porto Feliz;Rua Anita Garibaldi;1081;cangueira;
PORTO INDUSTRIA DE PAPEL E ARTEFATOS LTDA;;35452935000193;;;;;;;;;;
QUIMTIA S.A;;;;;;;;;;;;
RCP PAPEIS UNIPESSOAL LTDA;;07168823000170;;recebimentoquedas@iberkraft.com.br;1935334254;13503519;SP;Rio Claro;Rua 9 JC;100;Jardim Maria Cristina;
RD INDUSTRIA E COMERCIO DE PAPEL E EMBALAGEM LTDA;;;;;;;;;;;;
Renato Ferez;;;;;;;;;;;;
REVEST BRASIL TINTAS E REVESTI;;25454087000106;;;;;;;;;;
RSC SERVIÇO DE ENGENHARIA E REPRESENTAÇÃO COMERCIAL LTDA.;RSC SERVIÇO DE ENGENHARIA E REPRESENTAÇÃO COMERCIAL LTDA.;23747133000121;;REGINALDO@GURUDAENGENHARIA.COM;11940142914;16015110;SP;Araçatuba;RUA MAJOR MENDONÇA;402;ROSELE;
RUDOLF SIZING AMIDOS;;;;;;;;;;;;
Samuel;;;;;;;;;;;;
SENGES PAPEL E CELULOSE;SENGES PAPEL E CELULOSE;43014521000704;;nfe@sengespapel.com.br;35678600;84220000;PR;Sengés;RUA LUIZ JOSE SGUARIO;127;CENTRO;
SIDERQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S/A;SIDERQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S/A;73586976000161;1050744090;gislene@siderquimica.com.br;4121016206;83015000;PR;São José dos Pinhais;RODOVIA BR-376;22591;OURO FINO;KM 625
SOLLI'S SOLUCOES EM AGUAS INDUSTRIAIS EIRELI-EPP;;;;;;;;;;;;
Suzano Mucuri;;16404287001399;;;;;;;;;;
SUZANO SA UNIDADE JACAREI;;16404287045418;;;;;;;;;;
SUZANO S A UNIDADE LIMEIRA;;16404287015691;;;;;;;;;;
SUZANO SA UNIDADE TRÊS LAGOAS;;;;;;;;;;;;
SYLVAMO DO BRASIL LTDA;SYLVAMO DO BRASIL LTDA;52736949001987;424058527115;marco.rodrigues1@ipaper.com;1639869154;14210000;SP;Luís Antônio;Rod. SP 255, Km 41,240;S/N;Varzea dos Genipapo;
TKS SERVICOS DE MONTAGEM LTDA;;52954077000102;;;;;;;;;;
TOP PAPER & BOX INDUSTRIA DE PAPEL E EMBALAGENS LTDA;TOP PAPER & BOX INDUSTRIA DE PAPEL E EMBALAGENS LTDA;35503800000100;11603343;LFG@HOTMAIL.COM;2198185334;25946631;RJ;Guapimirim;COMANDANTE BARCELAR;731;VALE JEQUITIBA;
TROPICOS INDUSTRIAL E COMERCIAL LTDA;TROPICOS INDUSTRIAL E COMERCIAL LTDA;05520733000170;9027600163;;4236295909;85110000;PR;Guarapuava;Rua Avenida Padre Evaldo Feldhaus;S/N;Centro;
UNIDADE INDUSTRIAL CATAGUASES - MG;;02625899000244;;;;36774550;MG;Cataguases;Rua Ondina Carvalheira Peixoto;300;Chácaras Palmeiras;
UNO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;UNO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;74220112000437;672656450110;;1147413180;08673115;SP;Suzano;AVENIDA ARMANDO SALLES DE OLIVEIRA, 1520 - LOJA 1;1520;CONJUNTO RESIDENCIAL;
VITTA QUIMICA INDUSTRIA E COMERCIO LTDA;VITTA QUIMICA INDUSTRIA E COMERCIO LTDA;10745687000148;;CONTABILIDADE@GRUPOTQA.COM.BR;1236447700;12412805;SP;Pindamonhangaba;DOM JOAO VI;600;SOCORRO;PARQUE EMPRESARIAL        SANTA RITA
VMZ INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA;;37462869000168;;;;;;;;;;
WALDESA MOTOMERCANTIL;;05049535000170;;;;;;;;;;
Waltice;;;;;;;;;;;;
