Nome;Razão social;CPF;CNPJ;Inscrição estadual;E-mail principal;Telefone principal;CEP;UF;Cidade;Endereço;Número;Bairro
Americanas;;;;;;;;;;;;
AMIL ASSISTENCIA MEDICA INTERNACIONAL SA;;;29309127000179;;;;;;;;;
AMT COMERCIO E SERVIÇOS DE BOMBAS LTDA.;;;22661804000174;;;;;;;;;
ANALITICA ANALISES FISICO - QUIMICAS E MICROBIOLOGICAS LTDA;;;04543147000189;;;;;;;;;
ANANIAS DE OLIVEIRA SOUZA SUZANO;;;72691231000108;;;;;;;;;
ANDRA SA ELECTRIC SOLUTIONS;;;47674429001280;;;;;;;;;
Andrei - Representante;;;;;;;;;;;;
Andrelaine Ind. e Com. de Móveis Ltda-epp;;;05794760000131;;;;;;;;;
ANE ANE SPORT;;;63260756000190;;;;;;;;;
An Lui Atelie Uniformes;;;04475022000169;;;;;;;;;
ANTONIO L FERREIRA S A COMERCIAL E IMPORTADORA;ANTONIO L FERREIRA S A COMERCIAL E IMPORTADORA;;60452034000149;100025236110;;1133243099;01030000;SP;São Paulo;RUA FLORENCIO DE ABREU;150;CENTRO
APARECIDO GOES GUINCHOS - ME;;;03511877000135;;;;;;;;;
AQUA FONTE PRIME COM. E DISTR. DE AGUA MINERAL LTDA;;;15250714000125;;;;;;;;;
ARACAURIA INDUSTRIA E COMERCIO DE PAPEIS LTDA;ARAUCARIA INDUSTRIA E COMERCIO DE PAPEIS LTDA;;03505376000146;9020115600;matheus@araucariapapeis.com;46999209363;85560000;PR;Chopinzinho;LOC DE LINHA ALEGRIA;S/N;INTERIOR
Aramaki Arai Doces LTDA;;;;;;;;;;;;
ARF COMERCIO DE BOMBAS E MAQUINAS LTDA;ARF COMERCIO DE BOMBAS E MAQUINAS LTDA;;20550456000132;143681793116;;1155246849;04781065;SP;São Paulo;Rua Maria Aparecida Cardia;183;Vila Friburgo
ARLETE BRITO DOS SANTOS ME;;;23258806000180;;;;;;;;;
ARTELY MOVEIS LTDA;ARTELY MOVEIS LTDA;;01419940000182;9011343241;;4133815000;83010290;PR;São José dos Pinhais;ALAMEDA ARPO;2333;COSTEIRA
AS ASSESSORIA E TREINAMENTO LTDA;;;54015130000127;;;;;;;;;
Asia Shipping;;;;;;;;;;;;
ASSIS CHATEAUBRIAND - OFÍCIO DO DISTRIBUIDOR, CONT;;;;;;;;;;;;
Asthi Indústria e Comércio de Mangueiras;;;;;;;;;;;;
ASTHI INDUSTRIA E COMERCIO DE MANGUEIRAS LTDA;ASTHI INDUSTRIA E COMERCIO DE MANGUEIRAS LTDA;;02793596000150;305002360115;;1146346490;08538100;SP;Ferraz de Vasconcelos;Rua Prefeito Takume Koike;162;Nucleo Itaim
ATELIE ENCANTAR;;;;;;;;SP;Suzano;Rua Rua Santa Luzia;86;VILA FATIMA
ATIAS MIHAEL COM. PRODUTOS QUIMICOS LTDA;ATIAS MIHAEL COM. PRODUTOS QUIMICOS LTDA;;60756970000143;104893580118;;1131223222;01301000;SP;São Paulo;R DA CONSOLACAO;293;CONSOLACAO
(Atributo não preenchido no momento do cadastro inicial, favor revisar!);;;;;;;;;;;;
AUTOPLAN PECAS E SERVICOS AUTOMOTIVOS LTDA;AUTOPLAN PECAS E SERVICOS AUTOMOTIVOS LTDA;;04768158000167;56488739;;7332638777;45989040;BA;Teixeira de Freitas;RODOVIA BR-101;299;CASTELINHO
AUTO POSTO SUZAN PECAS E ACESSORIOS LTDA;AUTO POSTO SUZAN PECAS E ACESSORIOS LTDA;;74543026000112;672073454111;;;08610140;SP;Suzano;RUA PAPA JOAO XXIII;38;VILA AMORIM
AVANEX INDUSTRIA E COMERCIO LTDA;AVANEX INDUSTRIA E COMERCIO LTDA;;78668969000203;510020560110;;1340428178;11930000;SP;Pariquera-Açu;Estrada Municipal Treze de Maio n47;SN;Treze de Maio
AVANZI QUIMICA LTDA;;;13816737000129;;;;;;;;;
AVELINO BRAGAGNOLO S A INDUSTRIA E COMERCIO;AVELINO BRAGAGNOLO S A INDUSTRIA E COMERCIO;;84586833000257;250358522;bragagnolo@bragagnolo.com.br;4944173000;89694000;SC;Faxinal dos Guedes;ROD FAG-050 KM 13;;BARRA GRANDE
AVELINO BRAGAGNOLO S A INDUSTRIA E COMERCIO;AVELINO BRAGAGNOLO S A INDUSTRIA E COMERCIO;;84586833000257;250358522;bragagnolo@bragagnolo.com.br;4944173000;89694000;SC;Faxinal dos Guedes;ROD FAG-050 KM 13;S/N;BARRA GRANDE
Azul Companhia de Seguros Gerais;;;33448150000111;;;;;;;;;
B7 VALVULAS E CONEXOES LTDA;;;56972635000105;;;;;;;;;
BAIA CABRALIA HOTEL;;;;;;;;;;;;
BAÍA CABRÁLIA HOTEL-SQL COSTA CABRAIA HOTEL;;;;;;;;;;;;
BALANÇAS NET COM. DE BALANÇAS LTDA;;;34023396000104;;;;;;;;;
BARAO COMERCIO DE FERRO E ACO;;;00840894000128;;;;;;;;;
BASE27;;;;;;;;;;;;
BAUDUCO;;;;;;;;;;;;
BAUMINAS QUIMICA N/NE LTDA.;BAUMINAS QUIMICA N/NE LTDA.;;23647365000108;672000768117;;1147465200;08655000;SP;Suzano;RODOVIA INDIO TIBIRICA;4033;VILA SOL NASCENTE
BAZAR CHIC MANIA LTDA;;;11616579000138;;;;;;;;;
BEATRIZ CORREA EVANGELISTA;;;24874283000169;;;;;;;;;
BELA TINTAS LTDA;BELA TINTAS LTDA;;01154956000534;442132567114;;1124128844;09361340;SP;Mauá;RUA JOSE RICARDO NALLE;918;JD SAO JORGE DO GUAPITUBA
Benício - Frete Bignardi;;;;;;;;;;;;
BET-MAR INDUSTRIAL E COMERCIAL LTDA;;;59335653000174;;;;;;;;;
B FEU MECANICA DISEL LTDA;;;32022763000120;;;;;;;;;
BHE-BOMBAS E ACESSORIOS LTDA.;BHE-BOMBAS E ACESSORIOS LTDA.;;33016495000104;260029483;;4732325292;89035070;SC;Blumenau;Rua Tobias Barreto;52;Vila Nova
BIG BAG BRASIL EMBALAGENS EIRELI;BIG BAG BRASIL EMBALAGENS EIRELI;;06063219000116;;guilherme@centralbags.com.br;99616060;78745700;MT;Rondonópolis;AVENIDA MARIO ACUNHA ARISTIDE;1760;DISTRITO INDUSTRIAL
BIGNARDI IND E COM PAP ARTEF LTDA;BIGNARDI IND E COM PAP ARTEF LTDA;;61192522000127;407020330114;;1131244208;13211771;SP;Jundiaí;AV ANTONIO PINCINATO;7600;ERMIDA
BIODIGITAL TECHNOLOGY LTD;;;07620429000120;;;;;;;;;
Biofloc;;;;;;;;;;;;
Biogreen;;;;;;;;;;;;
Biosementes do Brasil Ltda;Biosementes do Brasil Ltda;;16084741000138;025705614;;7330413553;45662200;BA;Banco da Vitória;RODOVIA ILHEUS-ITABUNA, KM 24, S/N;01;ZONA RURAL
BIOSSEN - DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTD;BIOSSEN - DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTD;;24839220000171;672328781110;;;08674010;SP;Suzano;RUA BENJAMIN CONSTANT;1740;CENTRO
BMB MATERIAL DE CONSTRUCAO S.A.;BMB MATERIAL DE CONSTRUCAO S.A.;;23476033001260;672632453111;;;08610005;SP;Suzano;RUA DR PRUDENTE DE MORAES;SN;Vila Amorim
BOBIG CONTATTO - EQUIPAMENTOS LTDA - ME;BOBIG CONTATTO - EQUIPAMENTOS LTDA - ME;;05143214000130;9041338765;;4232737300;84268310;PR;Telêmaco Borba;ROD PR-160;600;AREA 02
BOMAX NO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA;;;52559499000175;;;;;;;;;
Bomba;;;;;;;;;;;;
Bomserv Bombas Industriais - Valinhos/SP;;;;;;;;;;;;
Bonificação;;;;;;;;;;;;
Bora química;;;;;;;;;;;;
BORRACHARIA VIADUTO;;;;;;;;;;;;
BORTOTO SISTEMAS DE PESAGEM E COM DE BALANÇAS LTDA ME;;;10309081000160;;;;;;;;;
Brasileiro - Rodoviária Veracel;;;13406285000107;;;;;;;;;
BRASILQUIMICA INDUSTRIA;;;;;;;;;;;;
BRASILQUIMICA INDUSTRIA E COMERCIO LTDA;BRASILQUIMICA INDUSTRIA E COMERCIO LTDA;;00408307000207;208115449113;;1636606722;14300326;SP;Batatais;RUA DUQUE DE CAXIAS;2030;ALTO DA BELA VISTA
BRASQUIM BRASIL IMPORTACAO, EXPORTACAO, INDUSTRIALIZACAO DIS;BRASQUIM BRASIL IMPORTACAO, EXPORTACAO, INDUSTRIALIZACAO DIS;;27547941000104;239150176111;;1148994204;07743130;SP;Caieiras;AV PAULICEIA;1.650;LARANJEIRAS
Brindes;;;;;;;;;;;;
Brindes Suzano;;;29135150000194;;;;;;;;;
BRINDES SUZANO PERSONALIZADO LTDA;BRINDES SUZANO PERSONALIZADO LTDA;;32259211000130;672409230117;;1147519885;08616200;SP;Suzano;Rua Cacique;591;Jardim Cacique
BRITO PARAFUSOS;;;37999451000194;;;;;;;;;
BR MIX SERVIÇOS DE CONCRETAGEM LTDA ME;;;12807775000152;;;;;;;;;
Bruno Toledo Lima Vaz;;41645865835;;;;;;;;;;
BUEU VALVULAS E ACESSORIOS INDUSTRIAIS LTDA;;;10808373000147;;;;;;;;;
BUSCARIOLI COMERCIO DE EQUIPAMENTOS INDUSTRIAIS LT;BUSCARIOLI COMERCIO DE EQUIPAMENTOS INDUSTRIAIS LT;;47120714000105;136448698113;;1126183611;03045002;SP;São Paulo;RUA VISC DE PARNAIBA;3025;BRAS
BUSCARIOLI INDUSTRIA E COMERCIO DE MOTORES ELETRIC;BUSCARIOLI INDUSTRIA E COMERCIO DE MOTORES ELETRIC;;17186232000189;616032515112;;1126183611;75000000;SP;Santa Isabel;PRACA MAJOR ANGELO SANCHES VERA;14;LANIFICIO
CACAU SHOW;;;;;;;;;;;;
CAJAES COMERCIO DE GAS LTDA;;;;;;;;;;;;
CALHAS KENNEDY IND E COM LTDA;CALHAS KENNEDY IND E COM LTDA;;64651979000140;112912622110;;1121263333;04762030;SP;São Paulo;R.ANDRE DE LEAO;210;VILA SOCORRO
Câmbio;;;;;;;;;;;;
CAMPOS SOLUCOES & COMERCIO DE INOX LTDA;;;30712569000140;;;;;;;;;
Cantinho da Maria;;;;;;;;;;;;
CAPCOM CERTIFICADO DIGITAL;;;31625760000118;;;;;;;;;
Carbinox Industria e Comercio Ltda;Carbinox Industria e Comercio Ltda;;53261533000193;188174854110;;1147959000;07413000;SP;Arujá;Estrada Adilia Barbosa Neves;3450;Portao
CARBON & CHEMICALS COM. PROD. QUIMICOS LTDA;CARBON & CHEMICALS COM. PROD. QUIMICOS LTDA;;17872170000169;278376047113;;1137226767;06705435;SP;Cotia;R SAO VICENTE;1246;PARQUE RINCAO
CARBOTEX QUIMICA IND COM E PART LTDA;CARBOTEX QUIMICA IND COM E PART LTDA;;01751891000261;734056910114;;1123915600;18148040;SP;Araçariguama;ESTRADA GREGORIO SPINA;262;DISTRITO INDUSTRIAL
CARLOS EDUARDO BRESSIANI SILVA;;;24752702000190;;;;;;;;;
CARLOS EDUARDO MARIA;;;36158958000152;;;;;;;;;
CARMELITA BARBOSA SILVA;;;;;;;;;;;;
Carmo Delgado Buffet e Salgateria ltda;;;62944565000184;;;;;;;;;
CARREFOUR COMERCIO E INDUSTRIA LTDA;CARREFOUR COMERCIO E INDUSTRIA LTDA;;45543915084695;241120980115;;1137796000;07789100;SP;Cajamar;V AC NORTE KM 38 420;0;EMPRESARIAL GATO PRETO
Carro;;;;;;;;;;;;
Cartão de credito;;;;;;;;;;;;
Cartão de crédito;;;;;;;;;;;;
Cartório;;;;;;;;;;;;
CARVALHEIRA INDÚSTRIA DE PAPÉIS LTDA;CARVALHEIRA INDÚSTRIA DE PAPÉIS LTDA;;11405532000125;220070168117;CARVALHEIRA@CARVALHEIRARAPAPEIS.COM.BR;40124419;12955000;SP;Bom Jesus dos Perdões;ESTRADA MUNINCIPAL CORONEL NELSON BROTTO;220;GUAXINDUVA
CASA DAS PLACAS E PERSONALIZADOS;;;;;;;;;;;;
CASA DAS PLACAS E PERSONALIZADOS LTDA;CASA DAS PLACAS E PERSONALIZADOS LTDA;;38499238000186;9088022766;;4232728897;84261020;PR;Telêmaco Borba;Rua Vice Prefeito Reginaldo Nocera;619;CENTRO
Casa do computador;;;16824662000116;;;;;;;;;
CASA DO CONSTRUTOR;;;;;;;;;;;;
CASA EUNAP EQUIP DE SEGURANCA LTDA EPP;CASA EUNAP EQUIP DE SEGURANCA LTDA EPP;;09468815000174;076865552;;7332616694;45821470;BA;Eunápolis;AVENIDA GUANABARA;555;DOUTOR GUSMAO
CASA ROLLU;;;58336314000140;;;;;;;;;
CASCARDI SANEAMENTO BASICO LTD;;;66657891000161;;;;;;;;;
CB BONES ME;CB BONES ME;;44066708000110;261389017;;4988682864;89805540;SC;Chapecó;Rua Francisco Dias Velho - ate 689/690;690;Passo dos Fortes
Cemil;;;;;;;;;;;;
Centercar;;;;;;;;;;;;
CERTISIGN CERT DIGITAL S;;;;;;;;;;;;
CETEA;;;;;;;;;;;;
CETESB;;;;;;;;;;;;
CETESB COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO;;;43776491000170;;;;;;;;;
CIA NITRO QUIMICA BRASILEIRA;CIA NITRO QUIMICA BRASILEIRA;;61150348000150;100074176113;;22463999;08090000;SP;São Paulo;AV. DR. JOSE ARTHUR NOVA;951;SAO MIGUEL PTA.
CIA Suzano;;;;;;;;;;;;
CIA SUZANO PAPEL E CELULOSE UNIDADE SUZANO;SUZANO S.A.;;16404287004738;672002291110;REGULARIDADES@SUZANO.COM.BR;1136365186;08613900;SP;Suzano;RUA PRUDENTE DE MORAES, 4006;4006;VILA SANTANA
CIBRAPEL S/A INDUSTRIA DE PAPEL E EMBALAGENS;CIBRAPEL S/A INDUSTRIA DE PAPEL E EMBALAGENS;;33352881000320;80243871;;26322313;25946151;RJ;Guapimirim;RUA COMANDANTE BARCELAR;731;CENTRO
CLADDAGH EMPREENDIMENTOS LTDA;;;66730317000191;;;;;;;;;
CLARICE FATIMA WELTER FREIBERGER;CLARICE FATIMA WELTER FREIBERGER;;03899243000100;9026306601;;4635325037;85460000;PR;Quedas do Iguaçu;acaranda;588;centro
Claro;;;;;;;;;;;;
CLEAN GAC REFERÊNCIA EM LIMPEZA E SERVIÇOS;;;31059241000130;;;;;;;;;
CLEIDE FERREIRA MOREIRA;;;33050930000109;;;;;;;;;
CLEITON CORREIA CORTEZ SERVICOS E COMERCIO ELETRICOS LTDA;CLEITON CORREIA CORTEZ SERVICOS E COMERCIO ELETRICOS LTDA;;28058858000126;672409452114;;12991049715;08680175;SP;Suzano;Rua Jossei Toda;48;Vila Maria de Maggi
CLIENTES DIVERSOS;CLIENTES DIVERSOS;;;;;;;SP;Itaquaquecetuba;;;
Clinica Opusnet Bahia;;;;;;;;;;;;
Clinica Pro Saúde;;;;;;;;;;;;
CLORUM - CAPE AGUAS SUDESTE INDUSTRIA E COMERCIO LTDA;CAPE AGUAS SUDESTE INDUSTRIA E COMERCIO LTDA;;03138288000404;672670319116;;1146731219;08685010;SP;Suzano;Rua  CORONEL SOUZA FRANCO;64;VILA MALUF
CMK;;;;;;;;;;;;
CM SOLUTIONS TECHNOLOGY;;;56045786000118;;;;;;;;;
Coelba;;;;;;;;;;;;
COGU DISTRIBUIDORA DE COGUMELOS SUZANO LTDA;;;;;;;;;;;;
Combustivel;;;;;;;;;;;;
COM DE GAS OKABE LT;COM DE GAS OKABE LT;;00020528000122;672074317115;;;08615110;SP;Suzano;RUA GUILHERME;72;V URUPES
COMERCIO DE GAS OKABE LTDA;;;;;;;;;;;;
Comissão;;;;;;;;;;;;
COMPANHIA BIOCHEMICALS BRASIL;;;;;;;;;;;;
Compass Minerals America do Sul Industria;;;;;;;;;;;;
COMPASS MINERALS AMERICA DO SUL INDUSTRIA E COMERCIO S/A;COMPASS MINERALS AMERICA DO SUL INDUSTRIA E COMERCIO S/A;;60398138000384;672062601115;;1147453000;08686000;SP;Suzano;AV. JORGE BEY MALUF,;2985;VILA THEODORO
COMPASS MINERALS SUDESTE INDUSTRIA E COMERCIO LTDA;COMPASS MINERALS SUDESTE INDUSTRIA E COMERCIO LTDA;;03138288000153;672158130117;;47453000;08686000;SP;Suzano;AV. JORGE BEY MALUF, PREDIO G,;2985;VILA THEODORO
CONCRETO BRITAKI LTDA;;;34772245000159;;;;;;;;;
CONDUSCAMP CONDUTORES CAMPINAS LTDA;;;02080427000172;;;;;;;;;
Conecfit Importação Exportação LTDA – EPP;;;07576749000120;;;;;;;;;
CONEXAO WEB TELECOM LTDA;;;17225163000175;;;;;;;;;
Consigaz Cilindros LTDA;Consigaz Cilindros LTDA;;29035398000183;206480256111;;1141979300;06460060;SP;Barueri;Rua Joao Ferreira de Camargo;939;Tambore
CONSIGAZ DISTRIBUIDORA DE GAS LTDA.;CONSIGAZ DISTRIBUIDORA DE GAS LTDA.;;01597589000462;645482686119;;1239011000;12226551;SP;São José dos Campos;EST. DOM JOSE ANTONIO DO COUTO;200;DO CAJURU
Consigaz Distribuidora de Gas Ltda.;;;01597589000896;;;;;;;;;
CONSTANTINI MATERIAIS CONSTRUCAO LTDA;CONSTANTINI MATERIAIS CONSTRUCAO LTDA;;75591172000186;4250012484;;4635321441;85460000;PR;Quedas do Iguaçu;RUA CARVALHO;002677;CENTRO
CONSTRUDECOR S.A - CUMBICA CD;CONSTRUDECOR S.A - CUMBICA CD;;03439316003350;336828084115;;1120854550;07230640;SP;Guarulhos;Rua Maria Garcia Utrilla;453;Forno Velho
CONSTRUDECOR S.A - MOGI;CONSTRUDECOR S.A - MOGI;;03439316002469;454325170110;;1147917300;08773550;SP;Mogi das Cruzes;PROF. ISMAEL ALVES DOS SANTOS;455;VL MOGILAR
Contabilidade;;;;;;;;;;;;
CONTROLID IND COM DE HARD E SERV DE TEC LTDA;;;08238299000129;;;;;;;;;
CORINO ARAUJO PEREIRA;;;34699174000106;;;;;;;;;
Correios;;;;;;;;;;;;
Cotação campinas;;;17354911000110;;;;;;;;;
CR3 ILUMINACAO LTDA;CR3 ILUMINACAO LTDA;;15367315000149;672137745111;;11978078787;08675150;SP;Suzano;Rua Pedro Talarico;50;Vila Sao Jorge
C R F INFORMATICA LTDA;;;;;;;;;;;;
Cristiana Domiciano Pastor;;;;;;;;;;;;
CS ORTIZ LOCACAO E TRANSPORTES LTDA;;;;;;;;;;;;
CVOVIDROS E PECAS PARA ONIBUS LTDA;CVOVIDROS E PECAS PARA ONIBUS LTDA;;07589702000100;117133250116;;1122078800;02180090;SP;São Paulo;AL.2  SGTO.NEVIO BARACHO DOS SANTOS;480;PQ N MUNDO
CVS COM. ALIMENTOS E SERV. DE CARTOES LTDA.;;;04728183000117;;;;;;;;;
Dakol;;;;;;;;;;;;
DAKOL INSTRUMENTOS E SISTEMAS LTDA;DAKOL INSTRUMENTOS E SISTEMAS LTDA;;59810838000193;112276771117;;1138550060;02510040;SP;São Paulo;R DOUTOR MELLO NOGUEIRA;105;VL BARUEL
DANIELA PEREIRA LEARDINE ME;;;19204323000125;;;;;;;;;
DANIEL JUNIOR DE ARAUJO BLOCOS ME;DANIEL JUNIOR DE ARAUJO BLOCOS ME;;03825062000120;115890657117;;1127362285;08371435;SP;São Paulo;AV RAGUEB CHOHFI;5940;JD MARILU
DARF IRRF ALUGUEL;;;;;;;;;;;;
Decolar;;;;;;;;;;;;
Defal Comércio Atacadista de Bebidas e Alimentos L;;;;;;;;;;;;
DEFAL COMERCIO ATACADISTA DE BEBIDAS E ALIMENTOS LTDA;DEFAL COMERCIO ATACADISTA DE BEBIDAS E ALIMENTOS LTDA;;07777502000172;635524819114;;1143948974;09895003;SP;São Bernardo do Campo;Av. Robert Kennedy;285;Vila Planalto
DEGANI-VADUZ INDUSTRIA QUIMICA EIRELI;DEGANI-VADUZ INDUSTRIA QUIMICA EIRELI;;54947908000136;336191963110;;1120857777;07221070;SP;Guarulhos;AVENIDA GUINLE;818;CIS DE SAO PAULO
DELCAFLEX INDUSTRIA;;;05752518000103;;;;;;;;;
DELL COMPUTADORES DO BRASIL LTDA;DELL COMPUTADORES DO BRASIL LTDA;;72381189001001;748241245113;;;13184654;SP;Hortolândia;AV DA EMANCIPACAO;5000;PARQUE DOS PINHEIROS
DELL COMPUTADORES DO BRASIL LTDA;;;;;;;;;;;;
DEL RICO TRANSPORTADORA DE CARGAS LTDA - EPP;;;;;;;;;;;;
DELTA FARMA;;;;;;;;;;;;
DE PAULA TRANSPORTES E COMERCI;;;;;;;;;;;;
Deposito;;;;;;;;;;;;
D F TOFFOLI MATERIAL ELETRICO;;;28164842000106;;;;;;;;;
DHL EXPRESS BRAZIL LTDA;;;58890252000113;;;;;;;;;
Diarista;;;;;;;;;;;;
DIGIMIX INFORMATICA;;;11069600000122;;;;;;;;;
DIMENSIONAL BRASIL SOLUCOES LTDA;;;06913480002373;;;;;;;;;
DIMENSIONAL BRASIL SOLUCOES LTDA;DIMENSIONAL BRASIL SOLUCOES LTDA;;06913480002616;260765929;;;89248000;SC;Garuva;ESTR. MUNICIPAL VEREADOR KLAUS LENNERTZ;3300;PALMITAL
DISMAN;;;02361304000100;;;;;;;;;
DISMOTOR COM DE MOTORES ELETRICOS LTDA;DISMOTOR COM DE MOTORES ELETRICOS LTDA;;69252872000143;244472790110;;1937859000;13065531;SP;Campinas;RUA DR ALBERTO FRANCO LAMUNIER;1424;PQ VIA NORTE
Distribui;;;;;;;;;;;;
DIXI VEXT COMÉRCIO DE EQUIPAMENTOS ELETRÔNICOS E SISTEMAS LTDA;;;15077663000181;;;;;;;;;
DMV ADM E TRANSPORTES EIRELI;DMV ADM E TRANSPORTES EIRELI;;07100254000120;582839741116;comercial@optatransportes.com.br;362611563;14075530;SP;Ribeirão Preto;RUA PETRÓPOLIS;172;VILA BRASIL
DOUGLAS DA SILVA PIRES;;;53392481000194;;;;;;;;;
